,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
10,SmokingHazards,It's time to stop smoking,,4953,739,7448,0,One thousand Americans #stopsmoking every day - by dying.,['stopsmoking']
11,UEAResearch,Keep up-to-date with our excellent research at @uniofeastanglia.,"Norwich, UK",1137,4580,5631,1,A new trial from #UEA will see smokers attending hospital emergency departments given e-cigarette starter packs to… https://t.co/1FOgIUmQ1b,['UEA']
12,uniofeastanglia,"Official University of East Anglia (UEA) account
✨ UK Top 25 (The Times/Sunday Times & Complete Uni Guide 2021)
Find your future at UEA ⬇️","Norwich, Norfolk, UK",2199,62337,31512,3,"Great to see our new project to hand out vape starter packs to people in A&amp;E as a top story on @BBCNews today!

👉… https://t.co/2SanbxOhFI",[]
13,FakhrulRaz1,An Analyst,Brunei,674,55724,32438,0,30 hari tanpa rokok #journeycontinues #stopsmoking,"['journeycontinues', 'stopsmoking']"
14,DCCPublicHealth,"We offer FREE health & wellbeing support for Derbyshire residents including stop smoking, weight management and help getting active. Follow us to find out more.",Derbyshire,384,925,3438,0,Ready to take the next steps and transform your life? Then we're here to help with FREE support for #stopsmoking… https://t.co/cwRMQlQgnj,['stopsmoking']
15,JensonEcig,"E-VOlve with #JensonEcig. Premium e-liquid, vape devices and accessories. Available in over 800 stockists & online.
Push the Button, Make the Switch","London, United Kingdom",1538,1711,1007,0,"Our E-Vo range is bold yet simplistic. Which one are you? #JensonECig #Vaping #StopSmoking

https://t.co/Xut5lDe5g2 https://t.co/ZfZMkbxm2x","['JensonECig', 'Vaping', 'StopSmoking']"
16,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"With 2baconil therapy, you have the right mentor to help you win against the smoking addiction. #ItsTimeToWin again… https://t.co/pDXeDCYxV5",['ItsTimeToWin']
17,2baconil,"2baconil is India's first 24 hour Nicotine Transdermal Patch, which serves as an aid to Quit Smoking / Chewing Tobacco.",India,432,1124,5344,1,"With 2baconil therapy, you have the right mentor to help you win against the smoking addiction. #ItsTimeToWin again… https://t.co/pDXeDCYxV5",['ItsTimeToWin']
18,ayurvedanelly,http://ayurveda-by-nelly.blogspot.com,,918,323,7111,0,"Shop #smoking cessation products from :
https://t.co/FcbNuoJakU
https://t.co/4cawaDhPU1 
#smokingcessation… https://t.co/uSK58GHBn3","['smoking', 'smokingcessation']"
19,SimpleeKare,"Digital first healthcare company working to improve patient experience via clinics, home based services and digital channels.
#Bhubaneswar #Cuttack #Vizag","Bhubaneshwar, India",11,344,7613,0,"Don't Burn Your Life Away. Say No to Smoking and Yes to a Healthy Life. 

Smoking Kills. Quit Smoking Today.… https://t.co/C5gzUdaS3B",[]
20,HW_Slough,Contact us 0800 0614734 or 01753 373646 or info.hws@nhs.net 👩‍⚕️health checks 🚭stop smoking 💪weight loss 👴falls prevention 🍷drink less 🦷oral health,"Slough, Berkshire",118,161,678,0,"Some people may experience nicotine withdrawal and symptoms of your body recovering when they #stopsmoking. 
These… https://t.co/dirBVkdO5M",['stopsmoking']
21,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Free e-cigarettes for smokers in A&amp;E trial - BBC News
https://t.co/I9ZAOjmYfe] #TimeToQuit #stopsmoking #smoking #quitsmoking","['TimeToQuit', 'stopsmoking', 'smoking']"
22,BromleyWell,"Bromley Well provides free, confidential help for residents to improve & maintain their health & wellbeing. Freephone 0808 278 7898 or spa@bromleywell.org.uk","Bromley, London",4987,2268,7938,1,"Free e-cigarettes for smokers in A&amp;E trial - BBC News
https://t.co/I9ZAOjmYfe] #TimeToQuit #stopsmoking #smoking #quitsmoking","['TimeToQuit', 'stopsmoking', 'smoking', 'quitsmoking']"
23,mishaa555j,"สวัสดีค่ะ 🙏🏻
คาทอลิก ✝️⛪
อินสตาแกรม 📷 | @𝕛𝕒𝕩_𝕞𝕚𝕤𝕙𝕒𝕒𝟝𝟝𝟝
ติ๊กต๊อก 🎶 | @𝗃𝖺𝗑_𝗆𝗂𝗌𝗁𝖺𝖺𝟧𝟧𝟧
𝕐𝕋| มิชา","Bangkok, Thailand",96,23,4,0,"#หยุดสูบบุหรี่
#StopSmoking https://t.co/r7PzsrcLtW","['หยุดสูบบุหรี่', 'StopSmoking']"
24,ADawnmari,My end goal is to meet the entirety of Dream SMP. I would appreciate the help. 💚😊,Soul Sand Valley,84,17,199,0,"Smoking, like any other addiction, doesn’t JUST hurt you. It hurts everyone around you, not just physically but emo… https://t.co/8x7s1qJKEY",[]
25,stlrcdems,St. Louis Democrats  @stldems01 @losingPatience3 @ScottSifton @BrianHarris33 @LynzforCongress @SharonDDDymond @livaudais_d  We ❤ DMs,St. Louis Missouri   ,32380,29632,7082,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
26,DavidRBradley,"10X Trainer&Coach: @GrantCardone, Host: Cardone Solutions Podcast, Founder: @RichMansGym, Author: How To #StopSmoking Without Killing Anyone, Pronoun: Maniac","Morro Bay, CA",2938,6335,81716,0,#StopSmoking Talking about the very real difference between quitting and stopping on #AmazonLive https://t.co/BoKpvAQAwM,"['StopSmoking', 'AmazonLive']"
27,Alansmith0161,"Vape Shop in Leeds.
60 North Lane
Headingley
Leeds
LS63LF",,4,0,268,0,"Voopoo Argus GT 
-
 #vapelife #vapelyfestyle #leeds #ivapeloungeleeds #ivapelounge #stopsmoking #eliquids #ecig… https://t.co/UlP2LihjOy","['vapelife', 'vapelyfestyle', 'leeds', 'ivapeloungeleeds', 'ivapelounge', 'stopsmoking', 'eliquids', 'ecig']"
28,MiraOsinibi,"specialist Paediatric respiratory nurse, photographer. Opinions my own.","Camberwell, London",174,107,1027,0,Really looking forward presenting Rapid fire about ‘Increased exposure to tobacco smoke for children during the COV… https://t.co/KEh6locUe9,[]
29,DavidRBradley,"10X Trainer&Coach: @GrantCardone, Host: Cardone Solutions Podcast, Founder: @RichMansGym, Author: How To #StopSmoking Without Killing Anyone, Pronoun: Maniac","Morro Bay, CA",2938,6335,81716,0,#StopSmoking with this no nonsense approach to finally kicking the habit before the habit leads you to kick the buc… https://t.co/evoTnFI3mw,['StopSmoking']
30,StephanieStans8,"Tobacco cessation Yoda, single mom of human and animals, Mary Kay Independent Beauty Consultant just trying to live life.",,64,23,238,0,@gfong570 @lauriemcginley2 @bylenasun @ITCProject .@ITCProject this shows such convincing data that a ban on Mentho… https://t.co/bY1KtrZjpQ,[]
31,andrewreeveart,"'YOU NEED ""PROOF""? Fuck You. I don't answer to you.'
#ADHD

Words: https://t.co/gCkyqrjjka | #FiveHundredProject https://t.co/FcZ64HjP54

| @artcanorg | @Imprudentcolle1","Norwich, England",957,452,10628,0,"Another Day in the #Brain

#MentalHealth #StopSmoking #Trophy

Can I Stop Smoking?: Day....Lewis? Day Reeve Oh No G… https://t.co/0a34PnWxE3","['Brain', 'MentalHealth', 'StopSmoking', 'Trophy']"
32,gfong570,"Global health research, tobacco control (PI 29-country ITC Project-https://itcproject.org), HIV prevention, social psychologist. Evidence-based health policies.","Waterloo, Ontario",518,1137,2566,0,@gfong570 @lauriemcginley2 @bylenasun @ITCProject .@ITCProject this shows such convincing data that a ban on Mentho… https://t.co/bY1KtrZjpQ,[]
33,bentollphd,"Prof & VC Resrch Public Hlth @MUSC Dir Tobacco Tx @MUSChealth @MUSCHollings Passionate: mentoring students, cancer prvntn thru tobacco, vaping tx & 🫁 screening","Charleston, SC",443,289,486,4,@gfong570 @lauriemcginley2 @bylenasun @ITCProject .@ITCProject this shows such convincing data that a ban on Mentho… https://t.co/bY1KtrZjpQ,[]
34,PUKKA_JUICE,"Premium, Fruity, Refreshing Juice - Multiple Award-Winning Brand - Made in the UK 🇬🇧 #PukkaJuice Follow us to WIN every month 🎉 Insta: Pukka.juice","England, United Kingdom",416,927,637,0,"•Be Prepared• 

*12.05.2021*  📆 

•
•
•
•

#PukkaJuice #vape #vapecommunity #vapeon #vaping #vapedaily #instavape… https://t.co/sbhE5GfXwn","['PukkaJuice', 'vape', 'vapecommunity', 'vapeon', 'vaping', 'vapedaily', 'instavape']"
35,Breaking_Free_,Pioneering digital behavior change programs for addictions created by a team of behavioral scientists: https://t.co/mT6LamLguj #lowermydrinking #myquitroute,UK,19354,25214,9536,0,These are great tips to use when you are planning to #stopsmoking or are already #smokefree but are struggling with… https://t.co/rMNwrMpxyp,"['stopsmoking', 'smokefree']"
36,ArnoldosSon,bored always sugarland sunny life #MiloismyMentor max follow limit future #nextera employee,"Houston, TX",4990,914,15867,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
37,pslove_Tee,"INSATIABLE WOMAN...R.I.P mommy/Love is everything...*As a woman,we should always be evolving*Love is all, all is you💙🍃","Cleveland, OH",229,67,3234,0,Praying for myself cause this will be a  task for me😌#stopsmoking👏🏽🙌🏾💫,['stopsmoking']
38,Anna_Saul1,I try and work with the positives,Norfolk UK,190,209,22805,0,"👇Mini-Thread

#QuitSmoking #StopSmoking https://t.co/joGBchgXdL","['QuitSmoking', 'StopSmoking']"
39,TotallyWickedUK,Suppliers of premium #vape e-cigarettes and #vaping e-liquid made in England. A wide range of choice and support for new and experienced #vapers.,"Blackburn, England.",246,15975,21086,1,"👇Mini-Thread

#QuitSmoking #StopSmoking https://t.co/joGBchgXdL","['QuitSmoking', 'StopSmoking']"
40,QuitWithBella,"Bella is your personal stop smoking robo-coach, there for you 24/7, whenever you need support to become smokefree",,52,130,1552,1,"Some people may experience nicotine withdrawal and symptoms of your body recovering when they #stopsmoking. 
These… https://t.co/dirBVkdO5M",['stopsmoking']
41,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Bernard Schnupfpulver mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/Ms6or2tLX0 

WE… https://t.co/9byUXU0Kmf",[]
42,snuffstore,"SnuffStore – der Onlineshop mit der vielfältigsten Auswahl an Genussprodukten in Deutschland. We love Snuff & Chew!
Schnupf- & Kautabak, Tabakfreies, Zubehör",Kempten,24,152,867,1,"Bernard Schnupfpulver mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/Ms6or2tLX0 

WE… https://t.co/9byUXU0Kmf",[]
43,hansenandrew,"Devoted husband with 1 daughter, grandfather of 2. 
I am interested in everything natural, I am into naturalwellness and relaxation. I'm also a techno geek.",Western Australia,153,153,6328,0,You'll be surprised at the range of support available in #Suffolk from your local #CommunityPharmacy. From… https://t.co/knCGDOmCHW,"['Suffolk', 'CommunityPharmacy', 'MinorAilments']"
44,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Tap Tins jetzt mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/wnx2wSlPH0 

WE❤️SNUFF… https://t.co/iVmnqxh8Je",[]
45,SuffolkLPC,The local representative committee for 135 community pharmacies in Suffolk., ,984,570,3101,1,You'll be surprised at the range of support available in #Suffolk from your local #CommunityPharmacy. From… https://t.co/knCGDOmCHW,"['Suffolk', 'CommunityPharmacy']"
46,snuffstore,"SnuffStore – der Onlineshop mit der vielfältigsten Auswahl an Genussprodukten in Deutschland. We love Snuff & Chew!
Schnupf- & Kautabak, Tabakfreies, Zubehör",Kempten,24,152,867,1,"Tap Tins jetzt mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/wnx2wSlPH0 

WE❤️SNUFF… https://t.co/iVmnqxh8Je",[]
47,LiafAntifumo,LIAF Lega Italiana Antifumo è una Onlus impegnata nella lotta al fumo di tabacco e sostiene la ricerca sui prodotti a basso rischio per smettere di fumare,"Catania, Sicilia",1936,528,705,0,"Un aiuto per ridurre il numero di fumatori tra la popolazione Maori in #Nuovazelanda arriva da una pianta locale, l… https://t.co/7cmW7JJdXh",['Nuovazelanda']
48,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"🤔 Did you know? Public Health England state within England last year, nicotine vaping products were highlighted as… https://t.co/f0jZFDyCRx",[]
49,royalflush_vape,Retailer of high quality E-cigarettes and Eliquids.,"78 Plungington Rd, Preston",398,341,566,1,"🤔 Did you know? Public Health England state within England last year, nicotine vaping products were highlighted as… https://t.co/f0jZFDyCRx",[]
50,maruthipipes,"We are the manufacturers of
 Casing Pipes
 Submersible Pipes
 Borewell Pipes
 Plumbing Pipes
 Potable Water Supply
 Agriculture Pipes","perundurai, erode",43,3,71,0,#Stopsmoking #covid_19 #covidpandemic #maruthipipes #sipcot #agriculture #casing #pipemanufacturer #smoking… https://t.co/InWHyWNLGK,"['Stopsmoking', 'covid_19', 'covidpandemic', 'maruthipipes', 'sipcot', 'agriculture', 'casing', 'pipemanufacturer', 'smoking']"
51,_seanhsn_,Vape Enthusiast / Killuminati & Co. Founder & Co-Owner / The Red Army #mufc #ggmu,"Kuala Lumpur City, Kuala Lumpur Federal Territory",190,115,3616,0,"Thank you @OsamaYamani_  singgah ke kedai kami semalam 🙏🏽🙏🏽🙏🏽

#stopsmoking",['stopsmoking']
52,killuminati_co,Killuminati & Co. Official Account. Your local favorite vapeshop! #killuminatiandco #killuminativape #kllmntofficial,"Ipoh, Perak",220,45,194,1,"Thank you @OsamaYamani_  singgah ke kedai kami semalam 🙏🏽🙏🏽🙏🏽

#stopsmoking",['stopsmoking']
53,jjimmybaseball,Thanks to Everyone who voted out the tRump mob. WE DID IT! Let’s keep shining the light on gop cockroaches,"Missouri, USA",3763,1208,32019,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
54,Wequitsmoking01,I Samantha Jones & John Allen quit smoking with #Acamprosate / @iquitsmokingcig @JAllenSJones @SJonesCigsKills @wequitcigs  Not Selling   ❤ DMs,Western North Carolina  ,75614,68999,48743,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
55,stldems01,"ST. Louis Dems @stlrcdems  @losingPatience3 
 @ScottSifton @BrianHarris33 @LynzforCongress @SharonDDDymond @livaudais_d  Follow all Dems  ❤ DMs",St. Louis  ,15958,14834,4919,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
56,SJonesCigsKills,Samantha Jones & John Allen  We Quit Smoking with Alcoholism Drug #Acamprosate  Pez Add @iquitsmokingcig @Wequitcigs @johnallenacamp Not Selling  ❤ DM,Western North Carolina  ,11464,10655,2923,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
57,FeelHypnosis,"Turan Mirza, hypnotist, helping people overcome anxiety, stress , and many other issues by improving your mindset with hypnosis. For more info see website.",Northern Ireland,402,846,6091,0,"Delighted to say a client handed these over to me, saying she did not need them any more. Thanks to #hpynosis she w… https://t.co/squjeGOMZS",['hpynosis']
58,johnallenacamp,S. Jones & J. Allen Quit Smoking With Alcoholism Drug  #Acamprosate  Site For Awareness Only  @iquitsmokingcig @Wequitsmoking01 @wequitcigs @JAllenSJones,"St Louis, MO",11561,10760,3606,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
59,paulkelly90,"DHP Acc.Hyp, SAC Dip.CBT, M.C.M.A, M.W.F.H, M.S.H.A, M.S.H.R - Samaritans Volunteer 💚 - St John Ambulance Volunteer 🚨 - Volunteer Vaccinator 🦠💉",Wigan,212,68,54,0,Read my blog below about my registration as a Member of The World Federation of Hypnotherapist and The Society of H… https://t.co/jQXhoO5f4p,[]
60,NamasteUK,"Member of The World Federation of Hypnotherapists, The Society of Hypno-Analysts, The Society for Hypnotic Research, The CMA and The Reiki Federation.",,18,5,38,1,Read my blog below about my registration as a Member of The World Federation of Hypnotherapist and The Society of H… https://t.co/jQXhoO5f4p,[]
61,mikebizzlejr,,TX,201,22,842,0,Stereotype much? 🤨🤨 #smoking #stopsmoking #tobacco ⁦@US_FDA⁩ https://t.co/DhuI4nQzoE,"['smoking', 'stopsmoking', 'tobacco']"
62,iquitsmokingcig,John Allen & S. Jones Quit Smoking We want to Save others LUNGS @wequitcigs @Wequitsmoking01 @johnallenacamp @JAllenSJones DM is OPEN  🌹 I Follow Back,St. Louis Mo. John D Allen,159186,144754,209202,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
63,wilmacastro1980,"mother of two preschooler kids, science and math mentor , RN, BSBA.","CALABARZON, Philippines",487,43,2030,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
64,brooklyntito66,"Kindness is the language which the deaf can hear and the blind can see - Mark Twain.
Military Retiree 
🇺🇲🇵🇷  Animal Lover / Earth Day is Every Day ☮️ 🌊♻️😷",United States,2777,2346,3215,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
65,JohnLukeNYC,*OFFICIAL* Twitter Page of Featured Auctioneer on A&E's Hit Show Storage Wars New York. Don't Even Think About.....!,New York,189262,213484,118499,11,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
66,AGHypnosis,"Fast Track #Hypnotherapist | 75,000+ clients |  Day clinics @ Coleraine, Ballymena, Omagh, Cookstown 
#WeightLoss #StopSmoking #Hypnotherapy #Phobias #YesYouCan","Belfast, Northern Ireland",156,191,115,0,"The cave you fear to enter holds the treasure you seek. 
.
.
 #Weightloss #WeightManagement #StopSmoking… https://t.co/TtgdXXBZeD","['Weightloss', 'WeightManagement', 'StopSmoking']"
67,BubblesTwit17,All opinions are my own. Working in the areas of Healthy Schools and Tobacco.,"Clare, Ireland",67,39,114,0,"Are you working for the #HSE in the Mid-West (#Clare #Limerick or North #Tipperary ?)

Are you currently #smoking a… https://t.co/YXowh5U9pF","['HSE', 'Clare', 'Limerick', 'Tipperary', 'smoking']"
68,HealthyLifeIOW,Providing free stop smoking and weight management services to the Isle of Wight community - launching January 2021,Isle of Wight,9,9,37,0,Now is the time to give up smoking and protect yourself and your family. For help to #QuitforCovid contact the Heal… https://t.co/M6dHcm2l6W,['QuitforCovid']
69,QuitMidWest,"Free HSE Stop Smoking Support Service for people living in the Mid West (Clare, Limerick & North Tipperary) Call 065 6865841 to speak to one of the team today!",Mid West Region CHO3,74,41,75,1,"Are you working for the #HSE in the Mid-West (#Clare #Limerick or North #Tipperary ?)

Are you currently #smoking a… https://t.co/YXowh5U9pF","['HSE', 'Clare', 'Limerick', 'Tipperary', 'smoking']"
70,JensonEcig,"E-VOlve with #JensonEcig. Premium e-liquid, vape devices and accessories. Available in over 800 stockists & online.
Push the Button, Make the Switch","London, United Kingdom",1538,1711,1007,0,Are you considering stopping smoking? How about trying our slim line devices such as the #evo or #amico. They're bo… https://t.co/laTUVEYYGD,"['evo', 'amico']"
71,TinxTherapy,"Hypnotherapist & life coach, passionate about helping people break through limiting self-beliefs, negative thoughts & behaviours. Mum to a warrior-princess.",,363,231,1180,0,"It all starts with a thought..

#hypnosis #hypnotherapy #change #subconsciousmind #hypnotherapyworks… https://t.co/I2tM4n01w8","['hypnosis', 'hypnotherapy', 'change', 'subconsciousmind', 'hypnotherapyworks']"
72,NaturalWellne15,We supply 100% Natural Wellness and Skin Care products. We manufacturer locally our own Bee's Wax products.,Perth,333,155,4530,0,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
73,NaturalWellne15,We supply 100% Natural Wellness and Skin Care products. We manufacturer locally our own Bee's Wax products.,Perth,333,155,4530,0,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
74,hansenandrew,"Devoted husband with 1 daughter, grandfather of 2. 
I am interested in everything natural, I am into naturalwellness and relaxation. I'm also a techno geek.",Western Australia,153,153,6328,0,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
75,hansenandrew,"Devoted husband with 1 daughter, grandfather of 2. 
I am interested in everything natural, I am into naturalwellness and relaxation. I'm also a techno geek.",Western Australia,153,153,6328,0,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
76,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
77,Healthiermatter,"Health, wellness, diet and nutrition blog. Join the conversation!",London,353,645,1463,5,"16.6% of adults in the UK smoke every day. 🤯🚭

#smokingkills #smoking #vape #stopsmoking #quitsmoking #nosmoking… https://t.co/SGwBFcjFWs","['smokingkills', 'smoking', 'vape', 'stopsmoking', 'quitsmoking', 'nosmoking']"
78,DavidRBradley,"10X Trainer&Coach: @GrantCardone, Host: Cardone Solutions Podcast, Founder: @RichMansGym, Author: How To #StopSmoking Without Killing Anyone, Pronoun: Maniac","Morro Bay, CA",2938,6335,81716,0,#StopSmoking cigarettes in 3 days! (No really... You can do this!) LEARN HOW https://t.co/FUvXjjm21z https://t.co/0MRKcCXENi,['StopSmoking']
79,snuffstore,"SnuffStore – der Onlineshop mit der vielfältigsten Auswahl an Genussprodukten in Deutschland. We love Snuff & Chew!
Schnupf- & Kautabak, Tabakfreies, Zubehör",Kempten,24,152,867,0,"Zeronito Pouches – jetzt 20% sparen!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/JS4l01lSSS 

WE❤️… https://t.co/cFCzbfnYEX",[]
80,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Show us the number and your face; we’ll try to guess your age. Start the #HowOldDoILookChallenge today. 
.
.… https://t.co/ICKC6CIKej","['HowOldDoILookChallenge', 'TheTimeIsNow']"
81,2baconil,"2baconil is India's first 24 hour Nicotine Transdermal Patch, which serves as an aid to Quit Smoking / Chewing Tobacco.",India,432,1124,5344,1,"Show us the number and your face; we’ll try to guess your age. Start the #HowOldDoILookChallenge today. 
.
.… https://t.co/ICKC6CIKej",['HowOldDoILookChallenge']
82,Cskoyles,Solution-Focused Hypnotherapist. | Author of Quit Smoking & Be Happy | Level 4 Counselling student | Talk about quitting smoking on YouTube,England,68,1198,12667,0,"The Joy of Quitting Smoking - How My Life Changed After I Quit - https://t.co/hNDXQ6ztKz

#StopSmoking #QuitSmokingAndBeHappy","['StopSmoking', 'QuitSmokingAndBeHappy']"
83,HTouristry,#HealthcareServiceProviderinIndia that offers #MedicalTreatments to #Patients seeking #affordableTreatmentinIndia #MedicalTourism #India,"New Delhi, India",87,51,1226,0,"This is what happens when you stop smoking
Within three months after quitting, a woman can improve her fertility as… https://t.co/Clo0ZAYFUX",[]
